title,review_score,review_summary,review_text,description,authors,publisher,categories
Looking Backward: 2000-1887 (Signet classics),3.0,"John West, from the late 19th Century, travels to 2000 AD!","On the surface this book published in 1888 is nothing but a small science fiction book about the future, but it doesn't take much digging to find the socialist vision of the future within. While very interesting and, yes, thought provoking, many parts of the book read very much like a political science book than a utopian novel. It is entertaining, yes, but I would not look at it as a study of human society. The book shows the government as 'allowing' things to happen, such as the evolution of small businesses to huge monopolies, while in our own history we know the government of the early 20th century fought it tooth and nail, with anti-trust laws, while the people fought the idea of monopolies, refusing to become nothing more than unfeeling consumers.We are more than just capitalists and workmen. We are painters, dreamers and, yes, writers too!",A wealthy Bostonian awakes from a hypnotic trance to find himself in a futuristic cooperative commonwealth.,['Edward Bellamy'],Signet Classic,['Fiction']
Counterplot,4.0,Direct witness to a tragic story,"This is an excellent work as it gives shape to a story as tragic as almost incredible ; it is well structured, it shows the main points of the fact and renders a revealing profile of all the main actors. The contribute of mr.Epstein is worth as he has had unique access to some of what was meant to be evidence of the conspiracy to kill the President and to some of the discussions taken place in Garrison's office.Why then four stars ? Because the the story narrated in the book ends in December 1968, while it would have taken only two months more to cover the final leg of the trial, that is the virdict of "" no guilty "" and in the end the defeat of Jim Garrison.",,['Hope Mirrlees'],,['Dramatists']
"An inquiry into the nature and causes of the wealth of nations, (Bohn's standard library)",4.0,"An interesting, but hard read","The Wealth of Nations handles a lot of economical phenomena in a concrete but sometimes complex way. On one hand the book is filled with ideas, some convincing, some out-dated, some fundamental to the current believe in free-markets. These ideas are combined with appealing (or appalling) examples of the injustice done to people by disturbing the free-market. On the other hand however, I find that certain sections of the book require a lot of concentration. The book is an interesting, but slow and at times difficult, read.Essentially, it is a treatise on the power of individuals to maximise their own wealth and therefor a support for the natural liberty of men and an argument for free-markets. Not as a perfect system in which there will be no misery, but as a system that gives individuals the greatest (and most just) opportunity to gain happiness and which will be the quickest to respond to changes in supply and demand (and therefor decrease the misery which is created when governments ignore gaps between supply and demand).It is not a book that believes in the pure goodness of companies (but explicitly states that companies have a interest which is directly opposite to that of society as a whole. I.e. the interest of companies is to create a supply shortage so they can ask prices above costprice), but says that the best way to break the power of these companies is the allow free competition. It also reveals that political decisions that at fist glance seems compassionate, might in fact be inhumane, cruel and the cause of much suffering (because on the long run they lead to a supply shortage). The examples given here, are still relevant to view the decisions made by politicians in today's so-called free market countries.Comment on review of Micheal Brady, june 13 2005:Brady remarks that Smith was the first opponent of globalization. The (strange) evidence he gives to support this statement is that Smith supports the use of counter tariffs, if (and only if) this might lead to the removal of the initial tariff. This statement clearly shows that Smith was against protectionist measures like tariffs and only condoned them if in the short run they would lead to less protectionism and therefor more globalization! Brady also supports his statement by mentioning that Smith opposed any offshoring if the purpose of such offshoring was to supply the home market. The keyword here again being ""if"". Smith was against a nation stimulating offshoring because he saw no national gain. This however doesn't mean that governments should restrict labor/capital mobility, because this would go against the natural liberty of men.",,['Adam Smith'],,['Economics']
"Memphis Barbecue, Barbeque, Bar-B-Que, Bar-B-Q, B-B-Q",1.0,Don't Bother,"This is more of a pamphlet than a book. It is very small and does not contain much for the BBQ'er unless you are a complete novice. Most of the sauce recipes are not ""from scratch"". They have you adding things to store bought sauces. There are much better books for you",,['Carolyn S. Wells'],Pig Out Pub,['Cooking']
Harry Potter and The Sorcerer's Stone,5.0,The Best Book in the Universe,"This book is VERY, VERY, exciting! There are a lot of good characters. My favorite characters are Harry, Hagrid and his little dragon, Professor McGongall,the fat lady in the portrait, Ron, and Hermoine. J. K. Rowling uses words that make you feel like you're right inside the book with Harry. My sister is 16 and she's even reading it! I have to go. I have to get my hands on that book again!","Celebrate 20 years of Harry Potter magic! Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin!These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It's time to PASS THE MAGIC ON ...",['J. K. Rowling'],Bloomsbury Publishing,['Juvenile Fiction']
The little prince,5.0,Reading this book is time well spent,"I wish I understood French well enough to be able to read it in its original language (without the help of a dictionary) because I suspect that something has been lost in the translation. Even so, this book bears the hallmark of something great: it makes you feel happy, and sad, both at the same time. The story itself is a curiosity and seems almost drug-inspired. However, the message (or rather one of its many messages) is one that needs to be read and understood by adults, not children. The message is: life is absurd, don't take yourself too seriously, and don't be afraid to make friends and love others. This is a book that could and hopefully will change your life, for the better.","Hello, I am the Little Prince. Bonjour, je suis le Petit Prince. Meet the Little Prince and read about his tiny planet - in both English and French! This classic, beloved tale is re-imagined as a beautiful, padded board book, with original illustrations and a playful, sweet design.",['Antoine de Saint-Exupery'],HMH Books For Young Readers,['Juvenile Fiction']
Empire From the Ashes,5.0,Excelent Series,"I found the entire story line from book one to book three full of intense action. Such as Collins discoverary that humans are not from earth but decended from the crew of Dalik. IN two i found the battles between the Humans of earth and the evil aliens to pretty well detailed and to find out that this whole genecide campaign is the result of warped and twisted computer makes it more exciting. IN three i thought the action that took place on the world where the royal heirs and their friends end up and trying to advacen their own cause plus that of the locals very informative. In my opinion David Weber wrote a good series but needs to add on to such as if Collins daughter and priest get wed, his son stays acting governer on the tempary home, if the big bad computer sends out masses of ships for pay back and so on.","Drawn into an alien conflict when his ship is taken over and pitted against a dangerous ancient enemy, Colin MacIntyre takes on the task of defeating a group of immortals who have been secretly ruling the Earth.",['David Weber'],Baen Books,['Fiction']
"The Window of Larkspur Inn (The Gresham Chronicles, Book 1)",5.0,Excellent read.,"Good characters. Being English I can very well imagine the area, personalties and such. Look forward to the next book.","When Life Seemed Its Worst, Gresham Awaited Julia Hollis' opulent life in Victorian London crashes to pieces when her husband passes away. Worse, she is told by his bankers that he gambled away their fortune. Now, the family's hope rests on The Larkspur, an old abandoned coaching inn in the quaint village of Gresham. Driven by dread and her desire to provide for her children, Julia decides to turn the dilapidated inn into a lodging house. But can she--who was accustomed to servants attending to every need--do what needs to be done and cope when boarders begin arriving? And then an eligible new vicar moves into town...",['Lawana Blackwell'],Bethany House,['Fiction']
Death by Contract,2.0,Mediocre,"I read Ms. Presberg's book right after reading one by Dick Francis and right before reading one by Barbara Paul. Compared with those two writers Ms. Presberg comes across as an amateur. Her publisher compares her book with Richard Powell's Tickets to the Devil. I read that book many years ago, and in my opinion Ms. Presberg's book does not come close. As a bridge player I found her bridge examples particularly dull. I am certainly not an expert on police procedures, but I doubt if any professional police officer would have acted as she portrayed the police in her novel. As a mystery fan, I found a total lack of any suspense. Ms. Presberg did do a good job of hiding the identity of the perpetrator until the end.",,,,
Everyday Greatness: Inspiration for a Meaningful Life,5.0,A highly recommended repository of insight and drive,"Written by the author of the bestselling ""The 7 Habits of Highly Effective People"", Everyday Greatness: Inspiration for a Meaningful Life is a guide to mentally transforming one's life through creating one's own dream, focusing on a purpose, and teaming with others as needed to make the vision a reality. Numerous insights, quips, and proverbs from famous people pepper Everyday Greatness, adding extra punch to its points on the virtues of humility, dedication, empathy, adaptability, and more. The core text draws upon the author's lifelong wisdom, alternating between overviews of positive traits to cultivate in oneself and vignettes written by others that lend a palpable dimension to life lessons. A highly recommended repository of insight and drive, that flavors its wisdom with subtle humor. ""Originality is unexplored territory. You get there by carrying a canoe - you can't take a taxi."" - Alan Alda","Inspiring stories and practical insights challenge readers to live a life of everyday greatness. Best-selling author Stephen Covey and Reader’s Digest have joined forces to produce an extraordinary volume of inspiration, insight, and motivation to live a life of character and contribution. The timeless principles and practical wisdom along with a ""Go-Forward Plan"" challenge readers to make three important choices every day: The Choice to Act - your energy The Choice of Purpose - your destination The Choice for Principles - the means for attaining your goals Topics include: Searching for Meaning Taking Charge Starting Within Creating the Dream Teaming with Others Overcoming Adversity Blending the Pieces With stories from some of the world's best known and loved writers, leaders, and celebrities, such as Maya Angelou, Jack Benny, and Henry David Thoreau, and insights and commentary from Stephen Covey, the Wrap Up and Reflections at the end of each chapter help create a project that can be used for group or personal study.",['Stephen R. Covey'],Thomas Nelson,['Self-Help']
Gulliver's Travels...Illustrated Junior Classics,5.0,"HUMANS: BIG AND LITTLE, UNWISE AND UNCOUTH","GULLIVER'S TRAVELS can be looked at in at least two different ways. On a stand alone basis, it is a satire written by a misanthrope, but if taken within the context of his overall body of work, it can also be perceived as a satire written by a man with a deep concern for mankind.Part I and Part II satirize Englishmen, their religion, politics, and their government. Parts III and IV satirize humanity on a much broader scale.In Part I, we find Lemuel Gulliver shipwrecked on the Island of Lilliput where the average inhabitant is about six inches tall. They are actually small in both body and mind. English religion and politics are satirized by descriptions of those who wear high heels and those who wear low heels, and by the dispute between those who feel their eggs should be broken at the big end and those whose preference is the small end. Like England, through much of history, the Lilliputians are constantly at war with their traditional enemies from across the chanel.In Part II, Gulliver is again stranded, this time on Brobdingnag, where the size proportions are just the opposite as in Part I. Here, Gulliver is tiny in relation to the inhabitants. Here, too, England, and to some extent all of humankind, are taken to task. After Gulliver has described European manners, customs, and behaviour to the king, the king comments that &quot;I cannot but conclude (that) the bulk of your natives (are) the most pernicious race of odious vermin . . . . to crawl on the face of the earth.&quot;Part III takes on the world of scientists, philosophers, historians, and &quot;projectors.&quot; On the flying Island of Laputa, the continent of Lagado, and the Islands of the Sorcerers and Immortals, He meets wise men who spend their lives in speculation but can't handle the practical necessities of life, professors who dedicate their lives to extracting sunlight from cucumbers, and immortals who reveal history to be nothing more than a series of deceptions.Finally, in Part IV, he finds himself in the country of the Houyhnhnms, who are horses with the power to reason. These horses lead clean and simple lives in contrast to the humans, known as Yahoos, who are filthy, brutal, and uncouth. In the Yahoos, Gulliver recognizes the human race, and after finally returning home, he can never again be comfortable in the company of other humans.Read by itself, GULLIVER'S TRAVELS is a satire on the foibles, weaknesses, and petty corruptions of the human race in general, and English politicians in specific, as written by a rather bitter misanthrope. That is a correct reading, but not necessarily the only one. Read in the context of many of Swift's other works, particularly his many political pamphlets, I think that it can be perceived as a satirically inventive work written by a man who really cares about the future of the human race.As an aside, Gulliver's visit to Lilliput has, through the years, enchanted countless numbers of children. It is in this section that we get a peek at Swift's humorous side.",,,,
The art of the Renaissance (Praeger world of art),1.0,Disorganized and uninsightful,"The book does not give an adequate survey of Renaissance Art - in fact, it is not about Renaissance Art at all - most of the book is devoted to pre- and early Renaissance art. Only the last chapter covers the High Renaissance and it is the shortest one in the book. Instead it rambles on and on through some key artists and leaves things at that. They do not describe at all what distinguishes a certain city or period fom another - instead they hone in on one or two paintings, yak about it for a while and leave the reader to infer what they mean. The very worst part is that most of the paintings they babble on and on about are not even plated in the book. Extremely diffuse and a grand waste of time and money.",,"['Peter Murray', 'Linda Murray']",,['Art']
George Orwell 1984,1.0,1984,"1984 is a very creative and well written book, Winston Smith the main character who is an insignifacant member or the ruling party in London in the nation of Oceania. Everywhere he goes he is video taped by cameras of the so called &quot;Big Brother&quot; party. This books talks about Winston on how he thinks what the &quot;Big Brother&quot; does is unfair. I enjoyed reading this book, it was very creative and well written. It makes me appreciate what I have in life. I also woundn't like the situation that Wiston is put by being watch all the time. I reccommend this book to people who are willing to sit threw some boring parts and who love science fiction. Overall it was a good book, but I don't think Iam ever going to want to read this book again.","""Nineteen Eighty-Four: A Novel"", often published as ""1984"", is a dystopian social science fiction novel by English novelist George Orwell. It was published on 8 June 1949 by Secker & Warburg as Orwell's ninth and final book completed in his lifetime. Thematically, ""Nineteen Eighty-Four"" centres on the consequences of totalitarianism, mass surveillance, and repressive regimentation of persons and behaviours within society. Orwell, himself a democratic socialist, modelled the authoritarian government in the novel after Stalinist Russia. More broadly, the novel examines the role of truth and facts within politics and the ways in which they are manipulated. The story takes place in an imagined future, the year 1984, when much of the world has fallen victim to perpetual war, omnipresent government surveillance, historical negationism, and propaganda. Great Britain, known as Airstrip One, has become a province of a totalitarian superstate named Oceania that is ruled by the Party who employ the Thought Police to persecute individuality and independent thinking. Big Brother, the leader of the Party, enjoys an intense cult of personality despite the fact that he may not even exist. The protagonist, Winston Smith, is a diligent and skillful rank-and-file worker and Outer Party member who secretly hates the Party and dreams of rebellion. He enters into a forbidden relationship with a colleague, Julia, and starts to remember what life was like before the Party came to power.",['George Orwell'],epubli,['Fiction']
FEAR AND LOATHING IN LAS VEGAS a Savage Journey to the Heart of the American Dream,5.0,Fear and Loathing in Las Vegas is the book of books!,"First of all, does anyone know how to send e-mail to Hunter S. Thompson himself? I also invite anyone to e-mail me, because no one ever does. Anyway, my name is Mark Aaron Platt, and I am a Rock and Roll guitarist. I just want to say that I am shocked by the faithless attitude that the hippie dream or the American Dream is dead! Are we all in ankle-chains working in some kind of prison-camp-sweat-shop-factory, chopping wood and welding bolts for a DICTATORSHIP? I don't think so! Listen, I am as wacked-out and brain-damaged as anybody else in the counter-culture, but after my mis-spent youth, I went back to computer school and WORKED HARD and got a 4.0, and I learned all the latest programs like QuarkXpress, and now I have a good old-fashioned employable and lucrative SKILL, and yet I still suffer from paranoid flashbacks twice a week, but I mix some REPUBLICAN WORK ETHIC in with my left-wing hippie dreams!!! Why did the peace and love movement of the late sixties fail? Because nobody put any HARD WORK into making their drug-crazed fanatisies of world peace come true! Oh sure, everybody gets disillusioned with the system, religion, and society, but nobody wants to put any real effort into changing society for the better! Do you people really think the conservatives and the police don't ever get drunk and do the silly dance at midnight while wearing lamp shades on their heads? Sure they do! But then they get up early and make it to work on time and they do their jobs hung-over and they make it happen! Yes, dreaming of social freedom takes courage and creativity, but making those dreams come true takes plain hard work! The conservatives don't hate trippy-hippies because hippies wear brightly colored shirts and pants, they hate lazy slackers who expect a free ride from the system! Make your hippie dreams come true by working hard, and have some faith in the Lord above that your dreams will come true with hard work, patience, and the formation of attainable and realistic goals!!! How about impressing the Invisible God with some faith during the hard times? Will you all merely rejoice in the Lord above during the good times and then curse and doubt the Lord above during the difficult times? That's not how George Washington and the freezing, starving, out-numbered troops at Valley Forge defeated the British!!! Those guys won on faith alone! Review the book? I don't need to review this book, I saw the movie! Hunter S. Thompson better pray to God that I never make it as a Rock Star, because then I'll find out where he lives, and I'll be in his kitchen twice a week ridiculing his lack of faith in the hippie dream!!! Have all the Hendrix and Beatles and Doors records been banned from all record stores everywhere by the cruel SYSTEM? Why don't you lazy hippies get off your Internet behinds and go down to the local record store and do a little old-fashioned investigative police work and find out for yourselves!!! I say Rock and Roll will never die because I refuse to let it die! The American Dream is alive and well and living in the hearts of every hard working American!!!","50th Anniversary Edition • With an introduction by Caity Weaver, acclaimed New York Times journalist This cult classic of gonzo journalism is the best chronicle of drug-soaked, addle-brained, rollicking good times ever committed to the printed page. It is also the tale of a long weekend road trip that has gone down in the annals of American pop culture as one of the strangest journeys ever undertaken. Also a major motion picture directed by Terry Gilliam, starring Johnny Depp and Benicio del Toro.",['Hunter S. Thompson'],Vintage,['Biography & Autobiography']
The Autobiography of Benjamin Franklin,4.0,Surprisingly good!,"I was surprised as how good this was. I was not looking forward to reading it but there's a LOT under the surface. The was he manipulates the reader with subtlety at times and openly at others is, quite frankly (no pun intended), charming. It contains well written autobiographical stories and contains a lot of interesting and useful information for readers today.This is a great historical book to read. It exposes both the positives and negatives of early American/colonial history. I would definitely recommend this to readers interested in history.","The Autobiography of Benjamin Franklin, which Franklin himself called his Memoirs, is the unfinished record of his life written between 1771 and 1790. It has become one of the most well-known and influential autobiographies in history, and has been praised both as a historical document and a piece of literature in its own right. William Dean Howells declared that ""Franklin's is one of the greatest autobiographies in literature, and towers over other autobiographies as Franklin towered over other men.""",['Benjamin Franklin'],Createspace Independent Publishing Platform,
The Return of Tarzan,4.0,The Tarzan sequel does not dissapoint!,"After reading Tarzan of the Apes, I immediately dowloaded the sequel. The cliffhanger ending at the end of the first one left me wanting more. The Return of Tarzan starts off with a slightly more civilized Tarzan, who has decided to visit an old friend in France.On his way there, he meets a young Russian countess whom he quickly befriends. After learning that her brother is a criminal, Tarzan feels a need to protect her, which gets him into a tight situation. After confessing that the situation was his fault, Tarzan decides to move on with his life and gets a job.After quite a few showdowns with Rokoff, the villain, Tarzan gets stranded in a familiar part of Africa. Meanwhile, Jane and her fiancee get stranded not too far away. After numerous confrontations with enemies, both new and old, Tarzan is at last reunited with the woman he loves.This book is just as good, if not better, than the first one.Tarzsn really grows as a character by overcoming personal prejudices and outgrowing his desire to kill needlesly. I also liked the more advenurous feeling of this one. From Chasing down the vilains, to finding the lost city of Opar, Tarzan accomplishes much more in this book than the first one.","This special Edgar Rice Burroughs Authorized Library edition features new cover art and a frontispiece by legendary artist Joe Jusko, a foreword and afterword by today's luminaries, and a host of rare and never-before-published bonus materials from the extensive archives of Edgar Rice Burroughs, Inc. in Tarzana, California.",['Edgar Rice Burroughs'],,['Fiction']
The Hoods,5.0,page turner,"I very much enjoyed reading and discussing ""The Hoods"" with my husband. Interesting details and insight about organized crime. We wanted to read it after watching ""Once Upon A Time In America"".","This book by Harry Grey - an ex-hood himself - will shock. Here, he dares to tell the truth about cold-blooded Killer Mobs and how they work.",['Harry Grey'],blackmask.com,['Fiction']
"A Tree Grows in Brooklyn by Smith, Betty",5.0,A microcosm of life.,"This book takes the reader on a voyage through memories so heartfelt you will feel like you have become a part of the Nolan family. The story is of an Irish Catholic family bringing up their children in the heart of Brooklyn during the beginning of the century. Francie and her brother Neeley are characters that you will take away with you, never to be forgotten.Life is hard and times are poor, but love of family and a good moral upbringing by the ever-present, yet distant mother Katie, gets them through. Life in Brooklyn struggles along with a laugh and a song from their drunken father Johnny who tries his best. With love and respect they watch their father&#65533;s decline over the years. Life is a roller coaster of emotions, trials, and tribulations, all layed out by the author in a manner that will keep you reading late into the night.This book was written back in the 40&#65533;s and is as much a classic today as it ever was. It continues to reach people into the new millennium. Though the century may change the lessons remain the same, love of family, strength of character, honesty, and hard work. The American Dream is there for the having and this book exemplifies it. Bravo a truly worthwhile read for everyone. Kelsana 9/11/01,",A young girl from an impoverished family comes of age in Brooklyn at the turn of the twentieth century.,['Betty Smith'],Random House,['Fiction']
Empire of the Sultans: Ottoman Art from the Khalili Collection,5.0,fantastic exhibition,"I have attended ""Empire of the Sultans"" exhibition in San Francisco's Asian Art Museum multiple times. The new catalog has many helpful historical overviews which will help to orient the reader in rich history of Ottoman Empire and Islam. I was mostly impressed with maps, cutout calligraphy, illustrated prayer calendars, and calligraphy on dry leaves. Some of the scrolls of edicts from the time of zenith of Ottoman power (Suleiman the Magnificent) are executed in a wonderfully restrained style with just the hint of color and gold dust. A reader will have a great time with this catalog!",,"['Nasser D. Khalili Collection of Islamic Art', 'J. M. Rogers']",,['Art']
Naked Chef Takes Off,5.0,Try everything in this book!,"This was the first Jamie Oliver book I ever owned, and I quickly became a huge fan as one recipe after another led to a new, fantastic meal that was unlike anything I had ever created before. New approaches for everything from root vegetables to fresh herb uses to a fantastic twist on a caprese salad taught me a lot and made my kitchens' best customer (my husband) very, very happy. I would recommend it to anyone for great flavors, creative recipes, and ease of use.",,,,
The War of The Worlds,5.0,"A measurment of how ""War of the Worlds"" should look.","The ""War of the Worlds"" published by New York Review of Books is simply H. G. Wells' novel. But about 50 years ago I purchased Edward Gorey's illustrated ""War of the Worlds"" and along with the ""Classics Illustrated"" images the images of Gorey's edition burned in to my mind what War of the Worlds should look like.I praise the New York Review of Books for re-publishing this wonderful copy of Wells' novel because if you are going to read Wells' book (and the summer of 2005 is a good time to do it) this is the copy to get and hold and pass down to your kids.I still have my 1950's Edward Gorey copy of ""War of the Worlds"" but just like his Haunted Looking Glass (also re-published by New York Review of Books)my 1950's copies are now so brittle that I do not dare to open them. So now we can have new copies to move us along for 50 more years.Get yourself a Edward Gorey illustrated copy of ""War of the Worlds"" and see that it makes a enjoyable book even more fun.","When a meteorite lands in Surrey, the locals don't know what to make of it. But as Martians emerge and begin killing bystanders, it quickly becomes clear—England is under attack. Armed soldiers converge on the scene to ward off the invaders, but meanwhile, more Martian cylinders land on Earth, bringing reinforcements. As war breaks out across England, the locals must fight for their lives, but life on Earth will never be the same. This is an unabridged version of one of the first fictional accounts of extraterrestrial invasion. H. G. Wells's military science fiction novel was first published in book form in 1898, and is considered a classic of English literature.",['H. G. Wells'],First Avenue Editions ™,['Fiction']
The House of Mirth,5.0,Lily Bart supporter,"After reading a few of these reviews I got the overwhelming impression that people hadn't tried hard enough to see this book in the context of the time it was written, much as perhaps people today might read Catcher in the Rye and see it as perhaps tame compared to reading it when it was written.Lily Bart was a true victim of the society of her times. Watch or read Age of Innocence and see how society can trap someone and manipulate them without the victim realising until they are beyond their depth and struggling.Ok, so Lily Bart was greedy, much in the same way a lot of people are greedy when they long for something and then suddenly find they have the means to have it. How many of us on payday think Hey I can get that outfit I've been longing for, or that surround sound system even though a part of you is shouting something about the end of the month when your salary will have run out because you did go out and buy something just for that moment of pleasure ? Lily loved that moment of getting something she knew she shouldn't really have, and that double-edge made it even more attractive to have.You have to remember that by the time Lily found that her family had lost it's money she was already of an age where she had spent so long thinking she was going to get it all that she found it hard to relinquish. She turned down early marriage proposals with impetuosity of youth, not wanting to be tied down too early and being too young to realise that there might be a day when it would be too late and that she would regret her rashness. She then finds herself at an age where she is on the edge of being too late to save herself and being on the edge makes her swing from one side to the other: to climb to safe harbour but have no happiness or to feel like she was living a true life and keep swimming in the hope something more worthwhile will come along.Lawrence Selden becomes in a sense her saviour whilst also crucifying Lily unwittingly. Having himself had an affair with a married acquaintance of Lily's she discovers over an illicit meeting with him how she is really viewed and this sets about a chain of events that eventually overtake her. Every time she feels the danger of bending to the will of High Society she recalls Selden's view point and strives to maintain the moral ground she feels she wants him to bear witness to. She falls off the wagon a few times but Selden always seems to come along and she tries again.It is very frustrating seeing how Lily and Selden dance around each other through so many misunderstandings, brought about either by themselves or by other people. Watching Lily's fall you see it coming before she does and are forced to watch helplessly as it happens and keeps happening.Lily is guilty only of wanting the same pleasures others less worthy have without appreciating. She has to have new dresses as part of the charade she is forced to maintain to stay in the game. She buys more than she should because she just can't believe that life won't save her in some way after all her hard work.Lily tries to help others and is constantly trying to live up to the expectations of others whilst also fighting to have some form of life, she just can't decide what it is she would prefer to have and knowing it has such a huge importance she takes too long about deciding.I feel in the end, in the vein of other of Wharton's novels, that the main character chooses the moral ground whilst having to sacrifice happiness, she doesn't choose to sacrifice happiness, that is just a consequence. She is only a short distance away from happiness but never knows it and through no fault of her own deprives herself of it forever. This is a tragic and beautiful book, definitely worth reading although many will feel as I do on the last pages, if only they had been there a day earlier but then this is Wharton's story and she knew where her character's had to go.","A black comedy of manners about vast wealth and a woman who can define herself only through the perceptions of others. The beautiful Lily Bart lives among the nouveaux riches of New York City – people whose millions were made in railroads, shipping, land speculation and banking. In this morally and aesthetically bankrupt world, Lily, age twenty-nine, seeks a husband who can satisfy her cravings for endless admiration and all the trappings of wealth. But her quest comes to a scandalous end when she is accused of being the mistress of a wealthy man. Exiled from her familiar world of artificial conventions, Lily finds life impossible. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",['Edith Wharton'],Penguin,['Fiction']
"Nicolae: Left Behind, Volume 3",5.0,Page Turner,"I am not a fan of fiction. I hate to read.I LOVED THIS BOOK: easy to read, loose enough to be timeless, and becomes more feasible by the day. You should read it.",Continues the story of the Tribulation Force at near one-fourth of the way through their effort to battle evil.,"['Tim LaHaye', 'Jerry B. Jenkins']","Tyndale House Publishers, Inc.",['Fiction']
The Sinister Pig,1.0,His worst in the series.,"An interesting plot but all of Hillerman's strengths, careful delineation of place and characters is absent. Any characters from any author could fill the roles. Is someone writing for Hillerman now? I won't pay money for any further novels by this author until his writing improves.A shame because his early novels are among my favorites.","Sergeant Jim Chee of the Navajo Tribal Police is troubled by the nameless corpse discovered just inside his jurisdiction, at the edge of the Jicarilla Apache natural gas field. More troubling still is the FBI's insistence that the Bureau take over the case, calling the unidentifiedvictim's death a ""hunting accident."" But if a hunter was involved, Chee knows the prey was intentionally human. This belief is shared by the ""Legendary Lieutenant"" Joe Leaphorn, who once again is pulled out of retirement by the possibility of serious wrongs being committed against the Navajo nation by the Washington bureaucracy. Yet it is former policewoman Bernadette Manuelito, recently relocated to Customs Patrol at the U.S. -- Mexico border, who possibly holds the key to a fiendishly twisted conspiracy of greed, lies, and murder -- and whose only hope for survival now rests in the hands of friends too far away for comfort.",['Tony Hillerman'],HarperTorch,['Fiction']
Suzannes Diary For Nicholas,2.0,"A sweet story, but a bit too sappy for me.","If you like stories dripping with tears, you will probably enjoy this story. The story is about a young woman who meets the love of her life, they marry, have a child, and tragedy is always just around the corner. There doesn't seem to be much uplifting about their lives, except perhaps that the memories they make are very nice. This is a fine escape from reality for awhile, and an overall good read, but the story lacks depth, is too predictable, and is gift wrapped at the end, leaving the reader feeling as though it can be put aside and never thought of again. I prefer stories that leave memories with the reader themselves. Still, as Danielle-Steele-ish as it is, you may find that it is poignant in parts, and touches your heart in others.","Changing genres, the author of ""Cradle and All"" offers a moving and suspenseful novel about families, loss, new love, and hope. Katie Wilkinson has found the perfect man at last, but one day he disappears from her life, leaving behind only a diary for her to read.",['James Patterson'],,
The Heir Hunter,4.0,This one caught me off guard!,"Wow! What an action-packed adventure! Chris Larsgaard is a talented storyteller whose well crafted prose keep you constantly on the edge of your seat. So, Chris....do Nick and Alex ever declare their true feelings for each other?","He's young. He's ambitious. He's got less than a week to find the heirs to a $22 million estate. Now everyone he sees is trying to kill him. Welcome to the world of Nick Merchant, heir hunter. Nick Merchant is in the business of finding heirs. As payment, the San Francisco-based private investigator gets a percentage of the estate. So when Gerald Jacobs is found dead in a creaky old house in upstate New York, Nick thinks he's about to score the payday of a lifetime. Unfortunately, he's got some pretty stiff competition. Working with his partner -- and former girlfriend -- Alex Moreno, Nick races against the clock, narrowly eluding his rivals, dodging bullets, and unearthing a history a lot of people would rather keep buried. Moving from San Francisco to New York, from Switzerland to Washington, D.C. -- and dozens of points in between -- they struggle to uncover the guilty secret behind a rich man's fortune. But as Nick and Alex close in on the truth, they are about to find out just how deadly this game can get....",['Chris Larsgaard'],Dell,['Fiction']
Tomb Raider III: Prima's Official Strategy Guide,5.0,Perfect,"Perfect, this guide helped me beat the game","Extensive walkthrough of every level Valuable strategy for surviving every enemy, obstacle, and booby trap All secrets exposed Solutions to every baffling puzzle Make swift killings",['Kip Ward'],Prima Games,['Games']
